Antecedent,Consequent,Support,Confidence,Lift
"(np.int64(40), np.int64(43))","(np.int64(4), np.int64(121), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(19), np.int64(97), np.int64(121))","(np.int64(149), np.int64(151))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(3), np.int64(25), np.int64(138), np.int64(151))","(np.int64(185),)",0.023923444976076555,0.625,10.048076923076923
"(np.int64(138), np.int64(149), np.int64(151))","(np.int64(3), np.int64(11))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(97), np.int64(104))","(np.int64(138), np.int64(151))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(25), np.int64(138), np.int64(151))","(np.int64(185),)",0.023923444976076555,0.625,10.048076923076923
"(np.int64(11), np.int64(19), np.int64(43))","(np.int64(149), np.int64(151))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(104), np.int64(121), np.int64(155))","(np.int64(25), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(13), np.int64(121))","(np.int64(104), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(3), np.int64(19), np.int64(138))","(np.int64(149), np.int64(151))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(11), np.int64(138))","(np.int64(121), np.int64(149))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(25), np.int64(121), np.int64(138), np.int64(151))","(np.int64(185),)",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(11), np.int64(121))","(np.int64(97), np.int64(151))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(25), np.int64(170))","(np.int64(4), np.int64(121), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(19), np.int64(97), np.int64(151))","(np.int64(121), np.int64(149))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(121), np.int64(149), np.int64(151))","(np.int64(104), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(3), np.int64(4), np.int64(25), np.int64(121), np.int64(151))","(np.int64(185),)",0.023923444976076555,0.625,10.048076923076923
"(np.int64(104), np.int64(149), np.int64(170))","(np.int64(25), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(19), np.int64(104), np.int64(138))","(np.int64(121), np.int64(149))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(97), np.int64(104))","(np.int64(3), np.int64(11))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(104), np.int64(121), np.int64(149))","(np.int64(25), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(13), np.int64(121))","(np.int64(25), np.int64(138))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(25), np.int64(170))","(np.int64(121), np.int64(149))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(19), np.int64(121), np.int64(138))","(np.int64(3), np.int64(11))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(11), np.int64(138))","(np.int64(121), np.int64(149))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(3), np.int64(138), np.int64(149))","(np.int64(4), np.int64(19), np.int64(97))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(4), np.int64(11), np.int64(138))","(np.int64(43), np.int64(97))",0.023923444976076555,0.625,10.048076923076923
"(np.int64(3), np.int64(11), np.int64(97), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(138))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(43), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(149), np.int64(151))","(np.int64(4), np.int64(19), np.int64(121))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(19), np.int64(121), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(97), np.int64(138))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(121), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(138))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(121))","(np.int64(4), np.int64(151))",0.03827751196172249,1.0,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(149))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(151))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(107), np.int64(121))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(121), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.03827751196172249,1.0,9.952380952380953
"(np.int64(121), np.int64(138), np.int64(170))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(138), np.int64(151))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(43), np.int64(97), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(104), np.int64(121))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(97), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(104))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(43), np.int64(138))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(104), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(83), np.int64(138))","(np.int64(40),)",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(43), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(149))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(43), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.04784688995215311,1.0,9.952380952380953
"(np.int64(19), np.int64(43), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(151))","(np.int64(3), np.int64(121), np.int64(138))",0.04784688995215311,0.4761904761904762,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(185))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(13))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(121))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(53), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(138), np.int64(151))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(19), np.int64(138), np.int64(151))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(43), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(11), np.int64(97), np.int64(151))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(19), np.int64(43), np.int64(97))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(4), np.int64(11), np.int64(149))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(121))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(121))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(4), np.int64(97), np.int64(149), np.int64(151))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(43), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(4), np.int64(97), np.int64(138))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(43), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(97), np.int64(104), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(149))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(11), np.int64(97))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(19), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(25), np.int64(104), np.int64(170))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(25), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(4), np.int64(97), np.int64(121))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(121), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(97), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(121))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(4), np.int64(97), np.int64(149))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(43), np.int64(83))","(np.int64(40),)",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(19), np.int64(97), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(97), np.int64(151))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(4), np.int64(97), np.int64(149), np.int64(151))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(97), np.int64(104), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(4), np.int64(13), np.int64(121), np.int64(138))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(121), np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(121), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(43), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(40), np.int64(138))","(np.int64(43), np.int64(83))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(13), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(121), np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(19), np.int64(104), np.int64(121), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(11), np.int64(19), np.int64(138))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(43))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(138), np.int64(151))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(43), np.int64(97))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(104))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(97), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(121), np.int64(149), np.int64(170))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(121), np.int64(138), np.int64(155))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(25), np.int64(121), np.int64(155))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(121))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(19), np.int64(97), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(43), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(82), np.int64(121))","(np.int64(4), np.int64(43))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(13), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(97), np.int64(121), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(4), np.int64(11), np.int64(97))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(97), np.int64(104), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(104), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(149), np.int64(151))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(4), np.int64(11), np.int64(138), np.int64(151))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(43), np.int64(104), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(138), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(83), np.int64(121), np.int64(138))","(np.int64(40),)",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(43), np.int64(121))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(25), np.int64(121), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(138))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(19), np.int64(43), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(43), np.int64(138))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(25), np.int64(121), np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(4), np.int64(13), np.int64(138))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(25), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(25), np.int64(43), np.int64(83))","(np.int64(40),)",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(4), np.int64(11), np.int64(97))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(40), np.int64(121), np.int64(138))","(np.int64(43), np.int64(83))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(121), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(43), np.int64(97), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(40), np.int64(83))","(np.int64(25), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(149))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(19), np.int64(97), np.int64(104))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(104), np.int64(151), np.int64(170))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(97), np.int64(138), np.int64(151))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(138), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(97), np.int64(104), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(97), np.int64(121), np.int64(151))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(97), np.int64(138))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(104))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(97))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(97), np.int64(121))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(25), np.int64(138), np.int64(155))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(121), np.int64(170))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(43), np.int64(121))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(149), np.int64(151))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(121), np.int64(138), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(104), np.int64(121), np.int64(138), np.int64(151))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(43), np.int64(121), np.int64(151))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(121), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(121), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(104), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(138), np.int64(151))","(np.int64(4), np.int64(19), np.int64(121))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(104), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(43), np.int64(121), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(19), np.int64(97))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(11), np.int64(19), np.int64(121))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(25), np.int64(104), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(25), np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(104), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(121), np.int64(138), np.int64(155))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(97), np.int64(138), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(121), np.int64(138))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(104), np.int64(170))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(97), np.int64(121), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(11), np.int64(138), np.int64(151))","(np.int64(4), np.int64(19), np.int64(121))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(11), np.int64(104))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(11), np.int64(43))","(np.int64(3), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(121), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(19), np.int64(121), np.int64(151))","(np.int64(4), np.int64(149))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(121), np.int64(138), np.int64(185))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(121), np.int64(155))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(170))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(149))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(104), np.int64(138), np.int64(168))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(138), np.int64(155))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(4), np.int64(11), np.int64(149))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(25), np.int64(104), np.int64(138))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(149))","(np.int64(4), np.int64(19), np.int64(121))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(4), np.int64(11), np.int64(138))","(np.int64(19), np.int64(43))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(4), np.int64(97), np.int64(138))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
"(np.int64(3), np.int64(138), np.int64(149))","(np.int64(4), np.int64(151))",0.03827751196172249,1.0,9.952380952380953
"(np.int64(3), np.int64(53), np.int64(149))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(11), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.028708133971291867,1.0,9.952380952380953
"(np.int64(3), np.int64(104), np.int64(138), np.int64(168))","(np.int64(4), np.int64(151))",0.023923444976076555,1.0,9.952380952380953
"(np.int64(3), np.int64(97), np.int64(149))","(np.int64(4), np.int64(151))",0.03349282296650718,1.0,9.952380952380953
"(np.int64(4), np.int64(13))","(np.int64(19), np.int64(104))",0.023923444976076555,0.7142857142857143,9.952380952380953
